su_id,std_dem,avg_plan_c,std_plan_c,avg_prof_c,std_prof_c,dis2river,land cover,dis2faults,avg_slope,std_slope,lithology,medi_aspec
0,143.8192291,32.32949448,21.73935318,11.72904205,7.527767181,4971.789453,3,30148.30326,31.23323059,15.47849083,4,285.2324524
1,150.1190796,27.00826263,19.15826607,10.81885147,6.785203457,4760.630301,3,29911,27.35665131,11.88359737,4,80.72740173
2,109.8439789,32.10876846,19.67995262,11.69256306,7.274673939,1308.083683,3,20959.62272,3.703094721,1.629564524,4,160.453064
3,64.79692078,40.05632019,20.9215641,6.940104961,4.396070957,1905.818801,3,36144.69467,16.01828003,8.278945923,4,82.87498474
4,93.66719055,25.1929493,17.53468704,7.40464735,4.656611919,1897.017067,3,19044.98698,20.14637184,8.58480835,4,199.9575195
5,126.7181854,31.40426636,17.83374786,9.640555382,6.467624187,1928.994287,3,19665.1333,14.76232052,6.393988132,4,118.5596161
6,95.83695221,28.06453323,16.9070816,7.620847225,4.61678791,1945.820999,3,35798.1715,20.59461212,11.32539272,4,201.3105621
7,94.77622986,33.03836441,19.61949348,6.285434246,3.838666916,1817.076306,3,35205.83765,39.38154602,3.866689682,4,162.2553253
8,185.9053955,45.11018372,29.61445045,10.31729031,6.224960804,3035.824659,1,27813.85273,10.88130665,5.478413105,4,231.1873932
9,120.9929352,38.096035,24.06220436,8.331147194,5.191996098,2287.641655,1,28844.78895,15.85898495,8.533387184,4,280.1755066
10,105.3364868,27.41621017,16.79843712,7.331809521,4.618421078,1537.860712,3,34750.99476,37.0796051,3.412791252,4,184.8703766
11,158.0274811,27.10004044,16.39559364,9.94948864,5.638145447,1504.34757,3,30994.44278,22.35705185,4.649684429,4,182.5335693
12,165.4588165,27.47857666,24.74190712,9.618068695,5.546988964,2384.730829,3,21128.84533,29.09237289,9.76274395,2,274.0078125
13,193.1092072,42.78687668,25.75037003,9.661260605,5.821934223,2703.263802,1,27789.05992,24.80465317,5.07073164,4,69.08917236
14,160.3321075,37.05710983,24.37864494,9.255263329,5.203418255,2323.602881,1,28204.0887,18.01047707,7.879785061,4,290.2248535
15,120.5252304,30.24926567,18.24898148,9.22791481,5.414415836,1618.302017,3,18554.96036,22.68739891,4.894983768,4,171.6341248
16,186.7686462,38.11770248,24.75287247,12.76166153,7.217241764,2470.125086,1,28037.76407,28.37929726,5.541128635,4,282.8627319
17,170.2185516,25.85144043,16.88910675,7.502137661,4.382236004,2278.587989,3,11592.58663,24.07734871,7.328941345,4,260.2563477
18,156.3912811,25.87277794,15.88473034,7.974520683,4.586760998,1421.193951,3,30746.57079,20.12108231,4.002396107,4,180.6030884
19,105.8103561,34.84814835,21.95709419,11.15978336,6.296708584,684.851235,3,6005.052494,11.34423447,4.682877064,4,28.02572823
20,115.8378372,26.18314743,18.14086151,6.655327797,4.011105537,3.285197643,3,22366.73085,24.97272491,1.348362088,4,155.0452576
21,56.98048401,27.33820343,16.56908035,5.557305813,3.242562056,2153.182731,3,1957.502357,11.50376892,5.832913399,2,47.20259857
22,155.7531281,25.81140709,21.48185921,10.39949703,6.121882915,1891.929782,3,20888.00154,29.67121887,11.24184608,2,70.12051392
23,79.19263458,35.68645859,18.70230103,9.963079453,5.590190411,4346.196518,3,13777.83504,12.45315552,4.245816708,2,236.9501038
24,166.7542877,31.07639885,24.27118301,8.81566143,5.178508282,2455.576527,1,32973.12457,23.55723763,7.908652306,4,30.7276783
25,152.0541229,28.88567924,20.39811897,9.523658752,5.875006676,2134.92199,1,33258.13944,26.0714035,7.605521679,4,40.07289124
26,194.0388031,31.9127655,23.51322746,9.205336571,5.632684708,2552.757529,1,28027.41616,24.56120491,8.455842972,4,163.256134
27,86.79953003,25.73325157,14.981534,6.933638096,4.218116283,1379.031072,3,15638.11168,17.28527641,3.902939796,4,230.3145447
28,79.48858643,29.39354134,18.44291496,8.832310677,5.202129364,4244.031014,3,14037.85826,28.81520653,8.188833237,2,274.3353271
29,148.3613129,24.78115654,14.64515209,10.54650593,5.828095436,1538.36441,3,30281.76184,8.20085907,5.006290913,4,171.2538452
30,125.0486145,36.80594254,21.21556664,10.14381599,5.82227087,3638.148491,3,14830.65806,18.99295616,9.160476685,2,113.4166946
31,115.2532349,23.31863785,16.0335083,6.957940102,4.119303226,4115.138263,3,1749.373005,21.61987114,7.47498703,4,273.9005127
32,88.70565796,32.31752014,17.60017967,7.554308414,4.175132751,1147.751305,3,15924.80601,15.62595177,3.463587284,4,175.8059998
33,129.4803772,31.28815079,18.16020966,9.609327316,6.254811287,2287.234005,3,11286.23595,24.86182213,10.17134857,4,124.9920197
34,134.2960968,38.26288223,27.11536789,6.916093349,4.068044662,4299.208516,3,26991.03253,18.09157181,7.455394268,4,97.27500153
35,111.6045837,27.75902748,14.32960701,7.602847099,4.179621696,4662.741348,3,982.6932604,22.28531837,7.669290543,4,233.6678772
